gene,log2FC,lfcSE,pvalue,padj,method,dataset,disease
GABPB1-AS1,-0.05149515198026614,0.02615461461822182,0.012163910938768188,0.05942619803121719,DESeq2-apeglm,GSE152004,asthma
IDI2-AS1,0.0015105473471607085,0.03273182867956276,0.8929743151000435,0.9437997873823126,DESeq2-apeglm,GSE152004,asthma
IFNG,-0.6644812905605133,0.1357108318313104,5.051087229994485e-11,5.444491410675562e-7,DESeq2-apeglm,GSE152004,asthma
IL13,0.0039343259481643324,0.034546368709231265,0.5244171597885485,0.6970121148996099,DESeq2-apeglm,GSE152004,asthma
IL4,5.122066860238e-4,0.03452259090265132,0.9037574334313141,0.9494045677175589,DESeq2-apeglm,GSE152004,asthma
IL5,0.4241730459447917,0.2322807976969288,0.0013936694193748206,0.014087987402110655,DESeq2-apeglm,GSE152004,asthma
IL6,-0.6498093140313943,0.18463375860316192,0.5076029058681677,0.6831489108142424,DESeq2-apeglm,GSE152004,asthma
MIR22HG,-0.019008536529433396,0.026923748939576376,0.34153838793679153,0.535942986477486,DESeq2-apeglm,GSE152004,asthma
OIP5-AS1,0.010500959969206015,0.013200506384125654,0.38878575430477263,0.5788446357195839,DESeq2-apeglm,GSE152004,asthma
TNF,-0.35922969741429733,0.10600583267962052,2.9060181731082036e-5,0.0013653001744202906,DESeq2-apeglm,GSE152004,asthma
GABPB1-AS1,-0.5018425572193211,0.1744357219586437,0.0019455202593785148,0.005508161470245612,DESeq2-apeglm,GSE121212,atopic_dermatitis
IDI2-AS1,-0.23371508162891597,0.27385757127856586,0.2993059430434781,0.40899928887958675,DESeq2-apeglm,GSE121212,atopic_dermatitis
IFNG,1.4272644276237167,0.6395950573299742,0.002277194406784463,0.0063384302645928415,DESeq2-apeglm,GSE121212,atopic_dermatitis
IL13,4.917466384790894,0.4238103807163104,2.1709313468521908e-32,2.014277454693241e-30,DESeq2-apeglm,GSE121212,atopic_dermatitis
IL5,-0.2641260023240716,0.325403255620322,0.2813035235813526,0.3892155564737844,DESeq2-apeglm,GSE121212,atopic_dermatitis
IL6,3.24663394536567,0.6565758181901461,4.761131779179544e-8,3.0869103520126047e-7,DESeq2-apeglm,GSE121212,atopic_dermatitis
MIR22HG,0.8185134362051247,0.0961001463105762,4.5775484265490085e-18,1.0516959428937983e-16,DESeq2-apeglm,GSE121212,atopic_dermatitis
OIP5-AS1,-0.18867497779846704,0.06379407998072514,0.0028285706803104576,0.007677952384068574,DESeq2-apeglm,GSE121212,atopic_dermatitis
TNF,0.8913634993126723,0.1618705318062563,8.839006628744784e-9,6.325880576998292e-8,DESeq2-apeglm,GSE121212,atopic_dermatitis
ENSG00000260196,-0.03649719442012906,0.1446023793227536,0.09241021513705203,0.49887807935134026,DESeq2-apeglm,GSE246323,eosinophilic_esophagitis
GABPB1-AS1,0.17431501650645137,0.0524792403987309,0.007557272718201852,0.015884628098464873,limma-trend,GSE58640,eosinophilic_esophagitis
IDI2-AS1,0.24626530939507804,0.14840262041388702,0.10743740483371014,0.15490411960500988,limma-trend,GSE58640,eosinophilic_esophagitis
IFNG,0.10214436501628538,0.03685630371388973,0.019027901383163952,0.035142608715701316,limma-trend,GSE58640,eosinophilic_esophagitis
IL13,0.9102996891884219,0.13757157839820894,1.6631500393318702e-6,2.2426101527830978e-5,limma-trend,GSE58640,eosinophilic_esophagitis
IL4,0.06834885324588434,0.041776498042383516,0.12781895808687624,0.17945509419371425,limma-trend,GSE58640,eosinophilic_esophagitis
IL5,0.6088761018432884,0.159221638564755,6.296500074626502e-4,0.0020094545190983562,limma-trend,GSE58640,eosinophilic_esophagitis
IL6,0.06460643400566625,0.03804986728519922,0.12322925798632597,0.17414329354851238,limma-trend,GSE58640,eosinophilic_esophagitis
MIR22HG,0.5964156825051462,0.09725260504956379,2.0535141985191063e-5,1.3627114457646613e-4,limma-trend,GSE58640,eosinophilic_esophagitis
OIP5-AS1,0.1472946464837107,0.11856960583971564,0.22773309598405841,0.2932718016242982,limma-trend,GSE58640,eosinophilic_esophagitis
TNF,-0.01603806551837333,0.11763628428010672,0.887214770094019,0.9097478531464009,limma-trend,GSE58640,eosinophilic_esophagitis
ENSG00000113525,1.0307268486833414e-6,0.0014426894492581646,0.6149991638184718,0.7819530065854123,DESeq2-apeglm,GSE136825,nasal_polyps
ENSG00000260196,-2.811672138612306e-6,0.001442685380380219,0.3190717591945122,0.5357207722619033,DESeq2-apeglm,GSE136825,nasal_polyps
