gene,k_datasets,pooled_log2FC,ci_lower,ci_upper,pval,Q_pval,I2_pct,tau2
MIR22HG,3,0.4580376598587091,-0.039316969328155094,0.9553922890455733,0.07107084008393098,1.309997200003236e-22,97.29355056531311,0.18679195467871082
IL13,3,1.9187429193362238,-1.0174186705720245,4.854904509244472,0.20026018439776716,5.73597921884885e-38,99.72766991432589,6.667004230689922
IL5,4,0.21576140202485466,-0.1483077753564072,0.5798305794061165,0.24541827499058616,3.2832646468751095e-4,82.0255489047558,0.10153529645127726
IL4,2,0.030351123523264877,-0.035645002426135296,0.09634724947266504,0.36739016931596735,0.2106730480939924,36.17544666453546,8.323627725851718e-4
IL6,3,0.8101480239887582,-1.4586654046197898,3.078961452597306,0.48401221189287646,5.058386501458598e-9,99.1568781332614,3.8735847796838243
GABPB1-AS1,3,-0.09507901719151031,-0.45383367091053023,0.26367563652750964,0.6034540755678696,1.148003784751472e-5,96.65515687089366,0.09087220667466263
TNF,3,0.16376411403208613,-0.5611119345857619,0.8886401626499342,0.6579137452692307,8.290362465842193e-10,96.1276538896407,0.39335852232551505
OIP5-AS1,3,-0.025391247819168884,-0.19887467463984332,0.14809217900150556,0.7742174207489798,0.0044603285231731024,84.97988413967373,0.018662731161574932
IFNG,3,0.14673461027869136,-0.9151267868801359,1.2085960074375186,0.7865140859899171,3.4841852364412613e-8,97.60604791012986,0.7714960702276366
IDI2-AS1,5,5.110642420607864e-5,-0.005127033331081416,0.0052292461794935735,0.984566557942932,0.47064475285097357,0.2561954014715307,4.949416330109457e-6
