dataset,disease,mediator,ACME,ACME_lo,ACME_hi,ACME_p,ADE,ADE_lo,ADE_hi,ADE_p,total_effect,total_p,prop_mediated
GSE152004,asthma,eosinophil_marker_z,0.10867185566549917,0.04069772385508219,0.1760306782947432,0.002,0.012014715703253742,-0.07450347038541703,0.10627977112601167,0.762,0.12068657136875291,0.05,0.9004469547275209
GSE152004,asthma,eosinophil_xCell_compensated,0.027512858943314164,-0.019624052297190716,0.07986161968490843,0.23,0.09317371242543958,-0.028309770404733457,0.19809816582130615,0.116,0.12068657136875374,0.068,0.2279695133541374
GSE152004,asthma,eosinophil_xCell_raw,0.0840245790933585,0.024195260099286162,0.14289361125676792,0.006,0.036661992275394795,-0.08393041780083212,0.14538175252535449,0.568,0.1206865713687533,0.07,0.696221444858389
GSE121212,atopic_dermatitis,eosinophil_marker_z,0.05360597272375023,-0.009835485374769432,0.1649404843498062,0.152,-0.032982644548968494,-0.2968653756868979,0.2762523861556951,0.808,0.020623328174781734,0.892,2.599288158993647
GSE121212,atopic_dermatitis,eosinophil_xCell_compensated,9.038709968031903e-5,-0.02608863693343865,0.03743058879209395,0.972,0.02053294107510162,-0.260040077856562,0.33969920227710676,0.946,0.020623328174781935,0.946,0.0043827600915958735
GSE121212,atopic_dermatitis,eosinophil_xCell_raw,0.0015364878262810857,-0.048670529772779525,0.040659994476686064,0.97,0.01908684034850116,-0.26245692501405116,0.3276348221097258,0.886,0.020623328174782244,0.886,0.07450241848742287
GSE136825,nasal_polyps,eosinophil_marker_z,-0.02767088498293062,-0.08000619535345758,0.008111446445502454,0.128,0.09598518837542347,-0.07067424078710054,0.24833018775759572,0.256,0.06831430339249285,0.426,-0.4050525820917821
GSE136825,nasal_polyps,eosinophil_xCell_compensated,4.8589904002272236e-4,-0.032084261564424205,0.023224087351389554,0.984,0.06782840435247017,-0.09800796080989613,0.22643917822017817,0.396,0.06831430339249289,0.4,0.007112698452490086
GSE136825,nasal_polyps,eosinophil_xCell_raw,0.01793563619322507,-0.02412768244279286,0.051489841152664605,0.36,0.050378667199267646,-0.11007082084402056,0.1960912688917156,0.504,0.06831430339249271,0.386,0.2625458403663687
